Timestamp,City,Country,Temperature (°C),Feels Like (°C),Humidity (%),Wind Speed (m/s),Weather Description
2025-03-03 08:29:05,Ho Chi Minh City,VN,26.99,28.36,64,3.24,scattered clouds
2025-03-03 08:29:35,Hanoi,VN,22,22.5,86,2.28,Overcast clouds
2025-03-03 08:29:35,Hanoi,VN,22,22.5,86,2.28,overcast clouds
2025-03-03 08:29:35,Hue,VN,25.14,25.67,75,1.1,few clouds
2025-03-03 08:29:35,Hue,VN,25.14,25.67,75,1.1,Few clouds
2025-03-03 08:29:35,Ho Chi Minh City,VN,26.99,28.36,64,3.24,scattered clouds
2025-03-03 08:29:35,Ho Chi Minh City,VN,26.99,28.36,64,3.24,Scattered clouds
2025-03-03 08:30:06,Hanoi,VN,22,22.5,86,2.28,overcast clouds
2025-03-03 08:30:06,Hue,VN,25.14,25.67,75,1.1,few clouds
2025-03-03 08:30:06,Ho Chi Minh City,VN,26.99,28.36,64,3.24,scattered clouds
2025-03-03 08:30:35,Hanoi,VN,22,22.5,86,2.28,Overcast clouds
2025-03-03 08:30:35,Hue,VN,25.14,25.67,75,1.1,Few clouds
2025-03-03 08:30:35,Ho Chi Minh City,VN,26.99,28.36,64,3.24,Scattered clouds
2025-03-03 08:30:36,Hanoi,VN,22,22.5,86,2.28,Overcast clouds
2025-03-03 08:30:36,Hue,VN,25.14,25.67,75,1.1,Few clouds
2025-03-03 08:30:36,Ho Chi Minh City,VN,26.99,28.36,64,3.24,Scattered clouds
2025-03-03 08:30:36,Hanoi,VN,22,22.5,86,2.28,overcast clouds
2025-03-03 08:30:36,Hue,VN,25.14,25.67,75,1.1,few clouds
2025-03-03 08:30:36,Ho Chi Minh City,VN,26.99,28.36,64,3.24,scattered clouds
2025-03-03 08:31:06,Hanoi,VN,22,22.5,86,2.28,Overcast clouds
2025-03-03 08:31:06,Hue,VN,25.14,25.67,75,1.1,Few clouds
2025-03-03 08:31:06,Hanoi,VN,22,22.5,86,2.28,overcast clouds
2025-03-03 08:31:06,Ho Chi Minh City,VN,29.24,30.52,54,3.47,Broken clouds
2025-03-03 08:31:06,Hue,VN,25.14,25.67,75,1.1,few clouds
2025-03-03 08:31:07,Ho Chi Minh City,VN,29.24,30.52,54,3.47,broken clouds
2025-03-03 08:31:36,Hanoi,VN,22,22.5,86,2.28,Overcast clouds
2025-03-03 08:31:36,Hue,VN,25.14,25.67,75,1.1,Few clouds
2025-03-03 08:31:36,Ho Chi Minh City,VN,29.24,30.52,54,3.47,Broken clouds
2025-03-03 08:31:37,Hanoi,VN,22,22.5,86,2.28,overcast clouds
2025-03-03 08:31:37,Hue,VN,25.14,25.67,75,1.1,few clouds
2025-03-03 08:31:37,Ho Chi Minh City,VN,29.24,30.52,54,3.47,broken clouds
2025-03-03 08:32:06,Hanoi,VN,22,22.5,86,2.28,Overcast clouds
2025-03-03 08:32:06,Hue,VN,25.14,25.67,75,1.1,Few clouds
2025-03-03 08:32:06,Ho Chi Minh City,VN,29.24,30.52,54,3.47,Broken clouds
2025-03-03 08:32:07,Hanoi,VN,22,22.5,86,2.28,overcast clouds
2025-03-03 08:32:07,Hue,VN,25.14,25.67,75,1.1,few clouds
2025-03-03 08:32:07,Ho Chi Minh City,VN,29.24,30.52,54,3.47,broken clouds
2025-03-03 08:32:37,Hanoi,VN,22,22.5,86,2.28,overcast clouds
2025-03-03 08:32:38,Hue,VN,25.14,25.67,75,1.1,few clouds
2025-03-03 08:32:38,Ho Chi Minh City,VN,29.24,30.52,54,3.47,broken clouds
2025-03-03 08:33:08,Hanoi,VN,22,22.5,86,2.28,overcast clouds
2025-03-03 08:33:08,Hue,VN,25.14,25.67,75,1.1,few clouds
2025-03-03 08:33:08,Ho Chi Minh City,VN,29.24,30.52,54,3.47,broken clouds
2025-03-03 08:33:34,Hanoi,VN,22,22.5,86,2.28,Overcast clouds
2025-03-03 08:33:34,Hue,VN,25.14,25.67,75,1.1,Few clouds
2025-03-03 08:33:34,Ho Chi Minh City,VN,29.24,30.52,54,3.47,Broken clouds
2025-03-03 08:33:35,Hanoi,VN,22,22.5,86,2.28,Overcast clouds
2025-03-03 08:33:35,Hue,VN,25.14,25.67,75,1.1,Few clouds
2025-03-03 08:33:35,Ho Chi Minh City,VN,29.24,30.52,54,3.47,Broken clouds
2025-03-03 08:33:37,Hanoi,VN,22,22.5,86,2.28,Overcast clouds
2025-03-03 08:33:37,Hue,VN,25.14,25.67,75,1.1,Few clouds
2025-03-03 08:33:37,Ho Chi Minh City,VN,29.24,30.52,54,3.47,Broken clouds
2025-03-03 08:33:38,Hanoi,VN,22,22.5,86,2.28,overcast clouds
2025-03-03 08:33:38,Hue,VN,25.14,25.67,75,1.1,few clouds
2025-03-03 08:33:38,Ho Chi Minh City,VN,29.24,30.52,54,3.47,broken clouds
2025-03-03 08:34:09,Hanoi,VN,22.63,23.09,82,2.62,overcast clouds
2025-03-03 08:34:09,Hue,VN,25.14,25.67,75,1.1,few clouds
2025-03-03 08:34:09,Ho Chi Minh City,VN,29.24,30.52,54,3.47,broken clouds
2025-03-03 08:34:40,Hanoi,VN,22.63,23.09,82,2.62,overcast clouds
2025-03-03 08:34:40,Hue,VN,27.76,29.86,67,0.91,few clouds
2025-03-03 08:34:40,Ho Chi Minh City,VN,26.99,28.36,64,3.24,scattered clouds
2025-03-03 08:35:10,Hanoi,VN,22.63,23.09,82,2.62,overcast clouds
2025-03-03 08:35:10,Hue,VN,27.76,29.86,67,0.91,few clouds
2025-03-03 08:35:10,Ho Chi Minh City,VN,29.24,30.52,54,3.47,broken clouds
2025-03-03 08:35:40,Hanoi,VN,22.63,23.09,82,2.62,overcast clouds
2025-03-03 08:35:40,Hue,VN,27.76,29.86,67,0.91,few clouds
2025-03-03 08:35:40,Ho Chi Minh City,VN,29.24,30.52,54,3.47,broken clouds
2025-03-03 08:36:11,Hanoi,VN,22.63,23.09,82,2.62,overcast clouds
2025-03-03 08:36:11,Hue,VN,27.76,29.86,67,0.91,few clouds
2025-03-03 08:36:11,Ho Chi Minh City,VN,29.24,30.52,54,3.47,broken clouds
2025-03-03 08:36:41,Hanoi,VN,22.63,23.09,82,2.62,overcast clouds
2025-03-03 08:36:41,Hue,VN,27.76,29.86,67,0.91,few clouds
2025-03-03 08:36:41,Ho Chi Minh City,VN,29.24,30.52,54,3.47,broken clouds
2025-03-03 08:37:11,Hanoi,VN,22.63,23.09,82,2.62,overcast clouds
2025-03-03 08:37:11,Hue,VN,27.76,29.86,67,0.91,few clouds
2025-03-03 08:37:12,Ho Chi Minh City,VN,29.24,30.52,54,3.47,broken clouds
2025-03-03 08:37:42,Hanoi,VN,22.63,23.09,82,2.62,overcast clouds
2025-03-03 08:37:42,Hue,VN,27.76,29.86,67,0.91,few clouds
2025-03-03 08:37:42,Ho Chi Minh City,VN,29.24,30.52,54,3.47,broken clouds
2025-03-03 08:38:12,Hanoi,VN,22.63,23.09,82,2.62,overcast clouds
2025-03-03 08:38:12,Hue,VN,27.76,29.86,67,0.91,few clouds
2025-03-03 08:38:12,Ho Chi Minh City,VN,29.24,30.52,54,3.47,broken clouds
2025-03-03 08:38:34,Hanoi,VN,22.63,23.09,82,2.62,Overcast clouds
2025-03-03 08:38:34,Hue,VN,27.76,29.86,67,0.91,Few clouds
2025-03-03 08:38:34,Ho Chi Minh City,VN,29.24,30.52,54,3.47,Broken clouds
2025-03-03 08:38:42,Hanoi,VN,22.63,23.09,82,2.62,overcast clouds
2025-03-03 08:38:43,Hue,VN,27.76,29.86,67,0.91,few clouds
2025-03-03 08:38:43,Ho Chi Minh City,VN,29.24,30.52,54,3.47,broken clouds
